{ Latitude: -37.0080986, Longitude: 174.7920074 }, {Latitude :-21.20269966, Longitude: -159.8059998},3
{ Latitude: -37.0080986, Longitude: 174.7920074 }, {Latitude :-38.10919952, Longitude: 176.3170013},3
{ Latitude: -33.39300156, Longitude: -70.78579712 }, {Latitude :-23.44449997, Longitude: -70.44509888},3
{ Latitude: -33.39300156, Longitude: -70.78579712 }, {Latitude :-18.3484993, Longitude: -70.33869934},3
{ Latitude: -33.39300156, Longitude: -70.78579712 }, {Latitude :-36.77270126, Longitude: -73.06310272},3
{ Latitude: -33.39300156, Longitude: -70.78579712 }, {Latitude :-22.49819946, Longitude: -68.9036026},3
{ Latitude: -33.39300156, Longitude: -70.78579712 }, {Latitude :-31.323601, Longitude: -64.208},3
{ Latitude: -33.39300156, Longitude: -70.78579712 }, {Latitude :-27.26119995, Longitude: -70.77919769},3
{ Latitude: -33.39300156, Longitude: -70.78579712 }, {Latitude :-34.8222, Longitude: -58.5358},3
{ Latitude: -33.39300156, Longitude: -70.78579712 }, {Latitude :-22.80999947, Longitude: -43.25055695},3
{ Latitude: -33.39300156, Longitude: -70.78579712 }, {Latitude :-23.43555641, Longitude: -46.47305679},3
{ Latitude: -33.39300156, Longitude: -70.78579712 }, {Latitude :-2.15741992, Longitude: -79.88359833},3
{ Latitude: -33.39300156, Longitude: -70.78579712 }, {Latitude :-20.53520012, Longitude: -70.1812973},3
{ Latitude: -33.39300156, Longitude: -70.78579712 }, {Latitude :-12.0219, Longitude: -77.114305},3
{ Latitude: -33.39300156, Longitude: -70.78579712 }, {Latitude :-29.91620064, Longitude: -71.19950104},3
{ Latitude: -33.39300156, Longitude: -70.78579712 }, {Latitude :-32.83169937, Longitude: -68.79290009},3
{ Latitude: -33.39300156, Longitude: -70.78579712 }, {Latitude :-41.43889999, Longitude: -73.09400177},3
{ Latitude: -37.0080986, Longitude: 174.7920074 }, {Latitude :-33.39300156, Longitude: -70.78579712},3
{ Latitude: -33.39300156, Longitude: -70.78579712 }, {Latitude :-38.9259, Longitude: -72.6515},3
{ Latitude: 37.61899948, Longitude: -122.375 }, {Latitude :40.978101, Longitude: -124.109},3
{ Latitude: 37.61899948, Longitude: -122.375 }, {Latitude :43.56439972, Longitude: -116.2229996},3
{ Latitude: 37.61899948, Longitude: -122.375 }, {Latitude :36.77619934, Longitude: -119.7180023},3
{ Latitude: 37.61899948, Longitude: -122.375 }, {Latitude :43.6072998, Longitude: -110.737999},3
{ Latitude: 37.61899948, Longitude: -122.375 }, {Latitude :37.62409973, Longitude: -118.8379974},3
{ Latitude: 37.61899948, Longitude: -122.375 }, {Latitude :38.50979996, Longitude: -107.8939972},3
{ Latitude: -37.0080986, Longitude: 174.7920074 }, {Latitude :37.61899948, Longitude: -122.375},3
{ Latitude: 37.61899948, Longitude: -122.375 }, {Latitude :33.82970047, Longitude: -116.5070038},3
{ Latitude: 37.61899948, Longitude: -122.375 }, {Latitude :40.50899887, Longitude: -122.2929993},3
