{ Latitude: -37.0080986, Longitude: 174.7920074 }, {Latitude :-34.5592, Longitude: -58.4156},2
{ Latitude: -37.0080986, Longitude: 174.7920074 }, {Latitude :-34.8222, Longitude: -58.5358},2
{ Latitude: -37.0080986, Longitude: 174.7920074 }, {Latitude :21.32062, Longitude: -157.924228},2
{ Latitude: -37.0080986, Longitude: 174.7920074 }, {Latitude :21.32062, Longitude: -157.924228},2
{ Latitude: -37.0080986, Longitude: 174.7920074 }, {Latitude :29.9843998, Longitude: -95.34140015},2
{ Latitude: -37.0080986, Longitude: 174.7920074 }, {Latitude :29.9843998, Longitude: -95.34140015},2
{ Latitude: -37.0080986, Longitude: 174.7920074 }, {Latitude :29.9843998, Longitude: -95.34140015},2
{ Latitude: -37.0080986, Longitude: 174.7920074 }, {Latitude :29.9843998, Longitude: -95.34140015},2
{ Latitude: -37.0080986, Longitude: 174.7920074 }, {Latitude :29.9843998, Longitude: -95.34140015},2
{ Latitude: -37.0080986, Longitude: 174.7920074 }, {Latitude :29.9843998, Longitude: -95.34140015},2
{ Latitude: -37.0080986, Longitude: 174.7920074 }, {Latitude :29.9843998, Longitude: -95.34140015},2
{ Latitude: -37.0080986, Longitude: 174.7920074 }, {Latitude :29.9843998, Longitude: -95.34140015},2
{ Latitude: -37.0080986, Longitude: 174.7920074 }, {Latitude :29.9843998, Longitude: -95.34140015},2
{ Latitude: -37.0080986, Longitude: 174.7920074 }, {Latitude :29.9843998, Longitude: -95.34140015},2
{ Latitude: -37.0080986, Longitude: 174.7920074 }, {Latitude :29.9843998, Longitude: -95.34140015},2
{ Latitude: -37.0080986, Longitude: 174.7920074 }, {Latitude :29.9843998, Longitude: -95.34140015},2
{ Latitude: -37.0080986, Longitude: 174.7920074 }, {Latitude :29.9843998, Longitude: -95.34140015},2
{ Latitude: -37.0080986, Longitude: 174.7920074 }, {Latitude :29.9843998, Longitude: -95.34140015},2
{ Latitude: -37.0080986, Longitude: 174.7920074 }, {Latitude :29.9843998, Longitude: -95.34140015},2
{ Latitude: -37.0080986, Longitude: 174.7920074 }, {Latitude :29.9843998, Longitude: -95.34140015},2
{ Latitude: -37.0080986, Longitude: 174.7920074 }, {Latitude :29.9843998, Longitude: -95.34140015},2
{ Latitude: -37.0080986, Longitude: 174.7920074 }, {Latitude :29.9843998, Longitude: -95.34140015},2
{ Latitude: -37.0080986, Longitude: 174.7920074 }, {Latitude :29.9843998, Longitude: -95.34140015},2
{ Latitude: -37.0080986, Longitude: 174.7920074 }, {Latitude :29.9843998, Longitude: -95.34140015},2
{ Latitude: -37.0080986, Longitude: 174.7920074 }, {Latitude :29.9843998, Longitude: -95.34140015},2
{ Latitude: -37.0080986, Longitude: 174.7920074 }, {Latitude :29.9843998, Longitude: -95.34140015},2
{ Latitude: -37.0080986, Longitude: 174.7920074 }, {Latitude :29.9843998, Longitude: -95.34140015},2
{ Latitude: -37.0080986, Longitude: 174.7920074 }, {Latitude :33.94250107, Longitude: -118.4079971},2
{ Latitude: -37.0080986, Longitude: 174.7920074 }, {Latitude :33.94250107, Longitude: -118.4079971},2
{ Latitude: -37.0080986, Longitude: 174.7920074 }, {Latitude :33.94250107, Longitude: -118.4079971},2
{ Latitude: -37.0080986, Longitude: 174.7920074 }, {Latitude :33.94250107, Longitude: -118.4079971},2
{ Latitude: -37.0080986, Longitude: 174.7920074 }, {Latitude :-33.39300156, Longitude: -70.78579712},2
{ Latitude: -37.0080986, Longitude: 174.7920074 }, {Latitude :-33.39300156, Longitude: -70.78579712},2
{ Latitude: -37.0080986, Longitude: 174.7920074 }, {Latitude :-33.39300156, Longitude: -70.78579712},2
{ Latitude: -37.0080986, Longitude: 174.7920074 }, {Latitude :-33.39300156, Longitude: -70.78579712},2
{ Latitude: -37.0080986, Longitude: 174.7920074 }, {Latitude :-33.39300156, Longitude: -70.78579712},2
{ Latitude: -37.0080986, Longitude: 174.7920074 }, {Latitude :-33.39300156, Longitude: -70.78579712},2
{ Latitude: -37.0080986, Longitude: 174.7920074 }, {Latitude :-33.39300156, Longitude: -70.78579712},2
{ Latitude: -37.0080986, Longitude: 174.7920074 }, {Latitude :-33.39300156, Longitude: -70.78579712},2
{ Latitude: -37.0080986, Longitude: 174.7920074 }, {Latitude :-33.39300156, Longitude: -70.78579712},2
{ Latitude: -37.0080986, Longitude: 174.7920074 }, {Latitude :-33.39300156, Longitude: -70.78579712},2
{ Latitude: -37.0080986, Longitude: 174.7920074 }, {Latitude :-33.39300156, Longitude: -70.78579712},2
{ Latitude: -37.0080986, Longitude: 174.7920074 }, {Latitude :-33.39300156, Longitude: -70.78579712},2
{ Latitude: -37.0080986, Longitude: 174.7920074 }, {Latitude :-33.39300156, Longitude: -70.78579712},2
{ Latitude: -37.0080986, Longitude: 174.7920074 }, {Latitude :-33.39300156, Longitude: -70.78579712},2
{ Latitude: -37.0080986, Longitude: 174.7920074 }, {Latitude :-33.39300156, Longitude: -70.78579712},2
{ Latitude: -37.0080986, Longitude: 174.7920074 }, {Latitude :-33.39300156, Longitude: -70.78579712},2
{ Latitude: -37.0080986, Longitude: 174.7920074 }, {Latitude :37.61899948, Longitude: -122.375},2
{ Latitude: -37.0080986, Longitude: 174.7920074 }, {Latitude :37.61899948, Longitude: -122.375},2
{ Latitude: -37.0080986, Longitude: 174.7920074 }, {Latitude :37.61899948, Longitude: -122.375},2
{ Latitude: -37.0080986, Longitude: 174.7920074 }, {Latitude :37.61899948, Longitude: -122.375},2
{ Latitude: -37.0080986, Longitude: 174.7920074 }, {Latitude :37.61899948, Longitude: -122.375},2
{ Latitude: -37.0080986, Longitude: 174.7920074 }, {Latitude :37.61899948, Longitude: -122.375},2
{ Latitude: -37.0080986, Longitude: 174.7920074 }, {Latitude :37.61899948, Longitude: -122.375},2
{ Latitude: -37.0080986, Longitude: 174.7920074 }, {Latitude :37.61899948, Longitude: -122.375},2
{ Latitude: -37.0080986, Longitude: 174.7920074 }, {Latitude :37.61899948, Longitude: -122.375},2
{ Latitude: -37.0080986, Longitude: 174.7920074 }, {Latitude :37.61899948, Longitude: -122.375},2
{ Latitude: -37.0080986, Longitude: 174.7920074 }, {Latitude :37.61899948, Longitude: -122.375},2
